tenure,monthly_charges,total_charges,contract,internet_service,support_calls,payment_method,churn
52,119.41,6258.93,Month-to-month,DSL,1,Bank transfer,1
15,21.11,364.97,One year,DSL,3,Mailed check,1
61,93.02,5713.74,Two year,DSL,3,Credit card,1
21,77.18,1595.0,One year,No,1,Electronic check,1
24,63.41,1578.94,One year,Fiber optic,6,Credit card,0
3,32.76,51.72,Month-to-month,DSL,1,Bank transfer,0
22,60.91,1382.66,Two year,Fiber optic,1,Mailed check,0
53,55.44,2854.47,Month-to-month,Fiber optic,3,Bank transfer,0
2,50.28,41.71,Month-to-month,DSL,3,Mailed check,1
30,93.09,2875.27,Month-to-month,DSL,6,Mailed check,1
38,90.07,3412.57,One year,DSL,2,Electronic check,0
2,78.9,123.76,Two year,DSL,3,Bank transfer,1
64,113.87,7342.59,Month-to-month,No,2,Electronic check,1
60,54.99,3359.99,One year,Fiber optic,3,Credit card,0
21,44.38,910.32,One year,No,3,Bank transfer,1
33,85.59,2838.4,Month-to-month,Fiber optic,4,Electronic check,1
58,39.88,2319.97,One year,DSL,2,Bank transfer,0
22,51.5,991.67,Month-to-month,No,2,Electronic check,1
49,42.46,2010.76,Month-to-month,DSL,5,Electronic check,1
59,26.92,1635.12,Two year,DSL,3,Bank transfer,1
42,102.75,4273.86,Month-to-month,Fiber optic,1,Credit card,1
60,45.45,2753.74,Month-to-month,DSL,2,Electronic check,1
15,67.3,1022.69,One year,DSL,1,Electronic check,1
62,24.33,1569.33,Two year,Fiber optic,2,Bank transfer,0
62,89.93,5507.72,One year,No,3,Credit card,0
47,53.06,2513.35,Month-to-month,DSL,1,Bank transfer,0
62,94.47,5854.1,Month-to-month,DSL,0,Mailed check,0
51,61.24,3083.77,One year,Fiber optic,3,Bank transfer,0
55,39.58,2136.82,Month-to-month,Fiber optic,2,Mailed check,1
64,71.32,4575.69,Month-to-month,DSL,3,Electronic check,1
3,33.05,130.63,Month-to-month,No,0,Credit card,0
51,64.05,3269.93,One year,Fiber optic,2,Credit card,0
7,51.73,366.85,Month-to-month,Fiber optic,0,Bank transfer,1
21,111.2,2310.19,Month-to-month,No,1,Mailed check,1
39,26.09,996.01,Month-to-month,No,2,Bank transfer,1
18,89.4,1569.61,Month-to-month,DSL,2,Credit card,0
4,38.28,127.17,Month-to-month,DSL,2,Mailed check,0
60,51.9,3144.0,Month-to-month,Fiber optic,0,Credit card,0
14,61.55,897.04,Month-to-month,No,3,Mailed check,1
9,110.8,933.42,Month-to-month,Fiber optic,6,Bank transfer,1
53,44.26,2300.84,Month-to-month,Fiber optic,1,Electronic check,1
2,29.13,22.74,Month-to-month,Fiber optic,2,Electronic check,1
60,51.87,3108.94,Month-to-month,DSL,3,Mailed check,0
71,30.47,2079.04,Month-to-month,No,3,Mailed check,0
44,32.86,1401.88,Month-to-month,Fiber optic,2,Electronic check,1
8,77.39,549.8,Month-to-month,No,1,Bank transfer,1
47,26.09,1246.26,Two year,Fiber optic,3,Bank transfer,0
35,23.09,806.77,Month-to-month,No,1,Credit card,1
36,91.44,3268.76,Two year,DSL,4,Credit card,1
50,56.16,2755.07,Month-to-month,Fiber optic,0,Electronic check,1
4,32.54,107.8,Month-to-month,No,1,Electronic check,1
2,45.36,62.49,One year,Fiber optic,0,Electronic check,1
6,84.21,586.99,Month-to-month,Fiber optic,2,Mailed check,1
54,47.55,2617.75,Month-to-month,DSL,2,Credit card,1
4,69.45,243.27,Two year,Fiber optic,6,Electronic check,1
54,32.17,1745.41,Month-to-month,No,2,Electronic check,1
63,78.81,5012.2,Month-to-month,DSL,4,Credit card,1
18,51.61,894.39,Month-to-month,Fiber optic,3,Electronic check,1
44,82.7,3567.81,Two year,Fiber optic,0,Electronic check,0
34,100.84,3338.7,Two year,DSL,3,Bank transfer,1
62,81.16,5095.82,Month-to-month,DSL,1,Credit card,0
14,49.57,684.49,Month-to-month,Fiber optic,0,Bank transfer,0
48,45.57,2202.14,One year,DSL,2,Credit card,0
15,52.74,762.42,Month-to-month,No,2,Electronic check,1
62,36.46,2197.25,Month-to-month,Fiber optic,6,Mailed check,1
40,38.12,1470.62,One year,DSL,1,Mailed check,0
53,99.07,5183.61,Month-to-month,DSL,1,Bank transfer,1
24,58.47,1445.86,One year,Fiber optic,4,Mailed check,1
26,63.6,1728.22,Two year,Fiber optic,4,Mailed check,1
60,79.4,4766.16,One year,DSL,1,Bank transfer,1
41,78.97,3161.69,Month-to-month,Fiber optic,1,Electronic check,1
29,26.74,800.22,Month-to-month,No,1,Credit card,0
15,103.15,1610.56,Month-to-month,DSL,1,Electronic check,1
45,37.73,1746.55,Month-to-month,DSL,2,Bank transfer,0
65,92.31,5998.51,Month-to-month,No,3,Electronic check,1
71,97.27,6894.24,Month-to-month,DSL,4,Electronic check,1
9,91.49,821.55,Month-to-month,No,2,Bank transfer,1
1,77.9,139.16,Month-to-month,DSL,0,Bank transfer,0
8,21.46,209.71,Month-to-month,DSL,0,Bank transfer,1
63,56.04,3511.08,Month-to-month,DSL,1,Mailed check,1
11,80.48,864.78,Month-to-month,DSL,2,Bank transfer,1
